name sigma sigma_e
PGC1021091 249.6 6.7
PGC1021091 258.4 4.6
NGC5005 213.9 6.6
NGC5104 157.5 15.9
NGC5127 194.1 5.3
NGC5141 247.8 4.8
NGC5133 316.8 7.2
NGC5133 338.3 8.1
UGC08516 46.1 26.7
NGC5208 267.2 6.0
NGC5228 221.0 7.3
NGC5232 265.0 6.9
NGC5239 96.0 10.2
NGC5248 71.1 13.3
NGC5252 235.9 6.8
NGC5283 124.6 5.2
UGC08671 182.0 11.3
UGC08671 186.4 14.6
UGC08696 208.6 30.8
NGC5290 118.2 18.6
NGC5296 92.9 43.4
NGC5308 133.1 9.5
IC0948 322.6 5.6
PGC049293 389.0 13.4
NGC5347 78.4 13.8
NGC5353 300.1 5.0
NGC5353 294.2 5.0
NGC5353 301.3 4.7
NGC5353 300.7 5.5
NGC5353 294.1 5.6
NGC5353 303.3 5.5
NGC5353 300.7 5.7
UGC08850 265.2 60.5
NGC5389 135.3 5.2
NGC5363 225.8 5.9
NGC5364 86.2 18.8
PGC097421 317.1 16.9
NGC5382 241.3 3.4
NGC5400 257.2 6.7
PGC049940 245.1 16.6
NGC5463 202.6 7.9
NGC5480 61.7 27.1
NGC5470 26.7 35.5
NGC5490 353.1 6.3
PGC050564 362.9 8.2
NGC5496 84.3 34.7
NGC5506 131.0 18.4
NGC5523 36.3 20.3
NGC5532 342.7 6.1
NGC5557 289.2 2.9
NGC5585 183.5 35.3
NGC5566 103.7 18.0
PGC992360 384.6 11.0
PGC051260 196.5 7.7
NGC5576 193.3 3.5
NGC5577 58.7 20.5
NGC5614 211.7 7.3
NGC5629 256.6 7.6
NGC5635 232.2 11.5
NGC5660 36.8 18.1
MRK0684 179.4 33.1
NGC5689 161.9 4.8
NGC5695 137.5 5.8
NGC5713 101.4 18.8
NGC5739 307.3 5.7
NGC5739 317.9 6.4
NGC5739 317.7 6.9
NGC5739 326.2 5.8
NGC5739 317.9 5.8
NGC5739 317.7 6.0
NGC5746 190.0 6.3
PGC052708 204.9 11.4
NGC5750 106.0 6.3
NGC5765B 133.1 12.4
NGC5765B 129.2 13.5
NGC5775 105.7 19.6
UGC09602 286.7 7.4
UGC09618 80.0 40.2
NGC5792 112.6 14.9
NGC5820 180.6 5.4
NGC5812 225.4 7.5
NGC5812 213.3 8.1
UGC09667 198.7 34.7
UGC09667 251.3 10.2
NGC5845 248.3 3.8
NGC5866 135.7 8.5
NGC5852 223.7 7.3
NGC5875 105.2 10.0
NGC5879 66.0 13.9
NGC5872 331.0 7.6
IC1101 376.1 21.0
IC1101 350.1 21.3
NGC5885 85.3 15.1
NGC5905 115.1 9.4
NGC5905 96.7 8.1
UGC09799 217.6 11.0
b19 376.1 17.1
NGC5910 277.8 7.7
NGC5921 82.5 8.4
PGC054944 27.5 29.3
PGC055060 359.5 7.7
PGC055376 278.2 7.3
NGC5965 211.0 8.1
PGC3093250 211.4 6.7
UGC09927 133.8 5.5
UGC09937 211.1 8.5
NGC5982 260.2 7.7
NGC5982 267.3 6.3
PGC055679 154.8 12.3
UGC09959 104.0 21.8
UGC09958 299.0 10.0
NGC5990 159.1 11.6
NGC6004 97.7 9.5
NGC6008 76.8 11.2
UGC10097 325.1 6.7
PGC056437 145.7 7.1
IC1153 236.9 8.0
PGC056722 301.7 8.5
NGC6033 262.6 8.5
NGC6036 228.7 6.7
NGC6051 287.3 10.6
UGC10204 245.1 4.7
UGC10262 350.4 15.4
NGC6086 319.6 8.2
UGC10288 64.3 29.4
PGC057723 29.9 38.4
PGC057723 81.5 34.8
NGC6125 263.4 5.8
NGC6128 265.4 4.5
NGC6122 217.0 9.3
NGC6118 49.5 20.6
NGC6146 310.8 6.4
NGC6166 278.6 11.3
NGC6166 282.7 14.0
NGC6196 318.2 6.1
NGC6196 309.6 7.2
NGC6196 322.7 5.9
NGC6196 319.7 5.3
NGC6196 320.7 5.1
NGC6196 324.5 5.8
PGC058719 168.4 6.9
